size,p,time,baseline,speedup,efficiency
10000,1,0.28,0.28,1.0000,1.0000
10000,2,0.28,0.28,1.0000,0.5000
10000,4,0.28,0.28,1.0000,0.2500
10000,8,0.29,0.28,0.9655,0.1207
50000,1,0.48,0.48,1.0000,1.0000
50000,2,0.50,0.48,0.9600,0.4800
50000,4,0.49,0.48,0.9796,0.2449
50000,8,0.50,0.48,0.9600,0.1200
100000,1,0.75,0.75,1.0000,1.0000
100000,2,0.76,0.75,0.9868,0.4934
100000,4,0.78,0.75,0.9615,0.2404
100000,8,1.05,0.75,0.7143,0.0893
