size,p,time,baseline,speedup,efficiency
100000,1,0.49,0.03,0.0612,0.0612
100000,2,0.50,0.03,0.0600,0.0300
100000,4,0.51,0.03,0.0588,0.0147
100000,8,0.52,0.03,0.0577,0.0072
500000,1,1.58,0.11,0.0696,0.0696
500000,2,1.61,0.11,0.0683,0.0341
500000,4,1.66,0.11,0.0663,0.0166
500000,8,1.66,0.11,0.0663,0.0083
1000000,1,2.92,0.23,0.0788,0.0788
1000000,2,2.95,0.23,0.0780,0.0390
1000000,4,3.08,0.23,0.0747,0.0187
1000000,8,3.31,0.23,0.0695,0.0087
